AngErr,Ecc,Tr
0.6753677343,10.4599182243,2
0.8632373166,10.5993532298,2
0.9225246039,6.2367959576,2
0.999321273,11.1562514537,2
1.163610866,9.1255195374,2
0.7338520613,1.855613691,2
0.070131304,9.5551408592,2
0.552067962,9.5061380219,2
0.6047327784,2.4386291896,2
0.6165267697,9.0003436252,2
0.1079411652,11.3216539863,2
0.4195574388,11.1697585126,2
0.7456624472,5.6076238998,2
0.861569935,11.038996277,2
0.2158427284,9.3847068719,1
0.8557503674,10.0586724712,1
0.6635635068,5.9609312923,1
0.8689038666,11.286058711,1
0.5866713348,9.3739802431,1
0.4714402597,1.3670305035,1
0.0597266157,7.9871857523,1
0.7318590594,8.0774526931,1
0.8134853463,2.9534632286,1
0.7917006357,9.6676331806,1
1.3354107064,11.797037959,1
1.1086855268,6.7602925028,1
1.2283000001,10.0196963007,1
1.2622096636,9.6029920944,3
0.7047779086,6.051896525,3
1.085592703,10.4151041725,3
1.104951249,7.7603482249,3
0.3576649187,1.7857728701,3
0.1933374238,8.2828245703,3
0.9246281117,8.241893537,3
0.395370173,2.1914507066,3
0.1702680378,7.6536273673,3
0.9672352567,10.1270100759,3
0.9399306907,5.4856524028,3
0.9631280994,9.22784077,3
1.2163491104,9.3225272723,1
0.6565205965,5.8224830288,1
0.6426816048,9.5740440014,1
0.965156724,7.9186331154,1
0.796339323,1.7924106051,1
0.2286314861,7.8652985794,1
1.0615510661,7.9417747399,1
0.8358048938,1.8398424883,1
0.5575743187,8.0544755535,1
0.6675848455,9.5608019841,1
1.0355568455,5.6780405655,1
0.809068559,9.3833209204,1
1.3584094389,9.442387262,2
1.1155270109,5.3294485843,2
1.0897282333,10.2038699392,2
0.5988778908,8.4732941199,2
0.4239239018,1.7049434082,2
0.9610787613,8.7466710882,2
0.4864777144,8.6406502331,2
0.3440025072,1.6015301835,2
0.8103909403,8.3482892847,2
1.424443215,10.1339645275,2
1.1824457848,5.2870631303,2
0.9148944509,9.9054036676,2
0.7103094721,10.9040620495,2
0.7155986223,5.7698590093,2
1.0068062049,9.3024562876,2
1.1483880253,9.1041371251,2
0.2841358546,2.3260242252,2
0.4004042673,8.5876280893,2
0.9504730647,8.2149207564,2
0.5039635795,2.0516924301,2
0.3437902821,9.1518748474,2
0.7269952998,9.4771916287,2
1.0179752476,5.7343593226,2
1.2104913293,10.9171556696,2
1.4229825394,8.018282016,1
0.335257556,6.2747364509,1
1.3002847828,9.8022930337,1
1.4583704818,8.9797120731,1
0.3698451125,1.7889389654,1
0.9058883258,7.9086790798,1
1.077178296,9.0587057959,1
1.1965144153,2.0780624156,1
1.3475128016,8.2301920032,1
1.842190765,10.3459505885,1
1.9709361803,5.5634365751,1
2.0323095817,10.067857286,1
1.3041381795,9.6575865048,1
0.4020600767,5.2305062338,1
1.1468921208,10.4139325084,1
0.4013561399,8.3906903787,1
0.5417939263,1.8672145103,1
0.7477117664,8.4613842658,1
0.1957818411,8.7942985824,1
0.4479175023,1.8780571382,1
0.6036553165,8.0117230118,1
0.5185060137,10.407976489,1
0.6265523897,5.2614138375,1
0.8611190058,10.0713325658,1
1.2772115943,9.7310093419,2
0.815693465,6.0614415672,2
0.9938467097,11.104425018,2
1.1367616214,7.8998329369,2
0.7532072038,1.8936260241,2
0.3509780383,9.827114568,2
0.5386607404,8.4101038518,2
0.5675003841,2.5874281226,2
0.190643357,9.8101179822,2
0.7334159712,10.2670984428,2
0.4868563449,6.5649918376,2
0.7922551433,10.8452276337,2
1.6123231515,8.2316009143,2
0.6883226806,6.1759928184,2
1.5076410914,11.1635405357,2
0.261175848,7.8201597952,2
0.7627418582,2.214536729,2
0.9477505856,9.5205227362,2
1.0739570787,8.5023386904,2
0.9652133893,2.0873053604,2
0.7969028927,8.7981839416,2
0.9228637344,11.117794797,2
1.2020538621,6.4473468043,2
1.3847181349,10.9156289078,2
0.8172246896,9.61916444,3
0.2956780453,6.0530804693,3
0.6250608511,10.2838418139,3
0.4695471052,8.147142288,3
0.0929950961,2.0139509386,3
0.2664970281,8.3493604311,3
0.5578198075,8.4607622765,3
0.2783479488,2.489220292,3
0.3748996195,7.8458001719,3
0.6007877663,10.3955891277,3
0.8004794492,5.8670948424,3
0.7991259065,9.8993722722,3
1.3074409444,9.8019962617,1
1.1575942124,6.8890261604,1
1.26602018,10.0212572383,1
1.1444971081,8.3379296605,1
0.2323896594,2.1249847861,1
0.6905369296,7.6058831935,1
1.0060016175,8.1912338092,1
0.4881913501,2.5191829247,1
0.5185042103,8.6220265118,1
1.0425100918,10.0362705992,1
1.0495183989,6.7909406724,1
0.7463185988,9.6758420045,1
0.2540333456,10.1499547527,2
0.8242236272,7.5722540068,2
3.1600033417,10.433959077,2
0.9969606882,8.2151119153,2
0.3009763153,2.8234479964,2
1.1056683242,7.7126195362,2
1.1369773575,8.5142644326,2
